name,height,weight,collage,born,birth_city,birth_state
Joffrey Lauvergne,211,99,,1991,Mulhouse,France
Zach LaVine,196,85,"University of California, Los Angeles",1995,Renton,Washington
Kalin Lucas,185,88,Michigan State University,1989,Sterling Heights,Michigan
Devyn Marble,198,90,University of Iowa,1992,Southfield,Michigan
James Michael,198,90,,1992,,
K.J. McDaniels,198,90,,1992,,
Doug McDermott,203,102,Creighton University,1992,Grand Forks,North Dakota
Mitch McGary,208,115,University of Michigan,1992,Chesterton,Indiana
Jerel McNeal,190,90,Marquette University,1987,Chicago,Illinois
Elijah Millsap,198,102,University of Alabama at Birmingham,1987,Grambling,Louisiana
Nikola Mirotic,208,99,,1991,Podgorica,Montenegro
Eric Moreland,208,107,Oregon State University,1991,Houston,Texas
Shabazz Napier,185,79,University of Connecticut,1991,Roxbury,Massachusetts
Nerlens Noel,211,103,University of Kentucky,1994,Malden,Massachusetts
Lucas Nogueira,213,109,,1992,Sao Goncalo,Brazil
Jusuf Nurkic,213,127,,1994,Tuzla,Bosnia and Herzegovina
Johnny O'Bryant,206,116,Louisiana State University,1993,Cleveland,Mississippi
Kostas Papanikolaou,203,102,,1990,Trikala,Greece
Jabari Parker,203,113,Duke University,1995,Chicago,Illinois
Adreian Payne,208,107,Michigan State University,1991,Dayton,Ohio
Elfrid Payton,193,83,University of Louisiana at Lafayette,1994,Gretna,Louisiana
Dwight Powell,211,108,Stanford University,1991,Toronto,Canada
Julius Randle,206,113,University of Kentucky,1994,Dallas,Texas
Damjan Rudez,208,103,,1986,Zagreb,Croatia
JaKarr Sampson,211,106,University of California,1983,Inglewood,California
Marcus Smart,193,99,Oklahoma State University,1994,Flower Mound,Texas
Russ Smith,183,74,University of Louisville,1991,New York,New York
Nik Stauskas,198,92,University of Michigan,1993,Mississauga,Canada
David Stockton,180,74,Gonzaga University,1991,Spokane,Washington
Jarnell Stokes,206,119,University of Tennessee,1994,Memphis,Tennessee
Noah Vonleh,208,108,Indiana University,1995,Haverhill,Massachusetts
T.J. Warren,208,108,,1995,,
David Wear,208,104,"University of California, Los Angeles",1990,Long Beach,California
Travis Wear,208,104,"University of California, Los Angeles",1990,Long Beach,California
Shayne Whittington,211,113,Western Michigan University,1991,Paw Paw,Michigan
Andrew Wiggins,203,90,University of Kansas,1995,Toronto,Canada
C.J. Wilcox,203,90,,1995,,
James Young,198,97,University of Kentucky,1995,Flint,Michigan
Cliff Alexander,203,111,University of Kansas,1995,Chicago,Illinois
Justin Anderson,198,103,University of Virginia,1993,Montross,Virginia
Thanasis Antetokounmpo,201,92,,1992,Athens,Greece
Keith Appling,185,83,Michigan State University,1992,Detroit,Michigan
Nemanja Bjelica,208,108,,1988,Belgrade,Serbia
Devin Booker,198,93,University of Kentucky,1996,Grand Rapids,Michigan
Anthony Brown,206,111,DePaul University,1981,Chicago,Illinois
Willie Cauley-Stein,213,108,University of Kentucky,1993,Spearville,Kansas
Rakeem Christmas,206,113,Syracuse University,1991,Irvington,New Jersey
Coty Clarke,201,105,University of Arkansas,1992,Antioch,Tennessee
Pat Connaughton,196,93,University of Notre Dame,1993,Arlington,Massachusetts
Branden Dawson,198,102,Michigan State University,1993,Gary,Indiana
Bryce Dejean-Jones,198,94,Iowa State University,1992,Los Angeles,California
Sam Dekker,206,104,University of Wisconsin,1994,Sheboygan,Wisconsin
Duje Dukan,206,99,University of Wisconsin,1991,Split,Croatia
Jarell Eddie,201,98,Virginia Polytechnic Institute and State University,1991,Tampa,Florida
Cristiano Felicio,208,124,,1992,Pouso Alegre,Brazil
Jerian Grant,203,95,Syracuse University,1994,Portland,Oregon
Montrezl Harrell,203,108,University of Louisville,1994,Tarboro,North Carolina
Aaron Harrison,198,95,University of Kentucky,1994,San Antonio,Texas
Mario Hezonja,203,97,,1995,Dubrovnik,Croatia
Darrun Hilliard,198,92,Villanova University,1993,Bethlehem,Pennsylvania
Rondae Hollis-Jefferson,201,99,University of Arizona,1995,Chester,Pennsylvania
Richaun Holmes,208,111,Bowling Green State University,1993,Lockport,Illinois
Marcelo Huertas,190,90,,1983,Sao Paulo,Brazil
Josh Huestis,201,104,Stanford University,1991,Webster,Texas
R.J. Hunter,201,104,,1991,,
Damien Inglis,203,111,,1995,Cayenne,French Guiana
Nikola Jokic,208,113,,1995,Sombor,Serbia
Tyus Jones,188,88,Duke University,1996,Burnsville,Minnesota
Frank Kaminsky,213,109,University of Wisconsin,1993,Winfield,Illinois
Sasha Kaun,211,117,University of Kansas,1985,Tomsk,Russia
Kevon Looney,206,99,"University of California, Los Angeles",1996,Milwaukee,Wisconsin
Trey Lyles,208,106,University of Kentucky,1995,Saskatoon,Canada
Boban Marjanovic,221,131,,1988,Zajecar,Serbia
Jarell Martin,208,108,Louisiana State University,1994,Baton Rouge,Louisiana
T.J. McConnell,208,108,,1994,,
Chris McCullough,211,90,Syracuse University,1995,Bronx,New York
Jordan McRae,198,83,University of Tennessee,1991,Savannah,Georgia
Salah Mejri,216,111,,1986,Jendouba,Tunisia
Jordan Mickey,203,106,Louisiana State University,1994,Dallas,Texas
Luis Montero,201,83,Westchester CC,1993,Santo Domingo,Dominican Republic
Emmanuel Mudiay,196,90,,1996,Kinshasa,Democratic Republic of the Congo
Xavier Munford,196,90,,1996,,
Raul Neto,185,81,,1992,Belo Horizonte,Brazil
J.J. O'Brien,185,81,,1992,,
Jahlil Okafor,211,124,Duke University,1995,Chicago,Illinois
Kelly Oubre,201,92,University of Kansas,1995,New Orleans,Louisiana
Lamar Patterson,196,102,University of Pittsburgh,1991,Lancaster,Pennsylvania
Cameron Payne,190,83,Murray State University,1994,Memphis,Tennessee
Tibor Pleiss,221,116,,1989,Bergisch Gladbach,Germany
Bobby Portis,211,104,University of Arkansas,1995,Little Rock,Arkansas
Kristaps Porzingis,221,108,,1995,Liepaja,Latvia
Norman Powell,193,97,"University of California, Los Angeles",1993,San Diego,California
Josh Richardson,198,90,University of Tennessee,1993,Edmond,Oklahoma
Terry Rozier,188,86,University of Louisville,1994,Youngstown,Ohio
D'Angelo Russell,188,86,,1994,,
Alex Stepheson,208,122,University of Southern California,1987,Los Angeles,California
Walter Tavares,221,117,,1992,Maio,Cape Verde
Axel Toupane,201,89,,1992,Mulhouse,France
Karl-Anthony Towns,213,110,University of Kentucky,1995,Edison,New Jersey
Myles Turner,211,110,University of Texas at Austin,1996,Bedford,Texas
Rashad Vaughn,198,91,"University of Nevada, Las Vegas",1996,Minneapolis,Minnesota
Briante Weber,188,74,Virginia Commonwealth University,1992,Chesapeake,Virginia
Justise Winslow,201,102,Duke University,1996,Houston,Texas
Christian Wood,211,99,"University of Nevada, Las Vegas",1995,Long Beach,California
Delon Wright,196,83,University of Utah,1992,Los Angeles,California
Joe Young,188,81,University of Oregon,1992,Houston,Texas
Alex Abrines,198,86,,1993,Palma de Mallorca,Spain
Ron Baker,193,99,Wichita State University,1993,Hays,Kansas
Wade Baldwin,193,91,Vanderbilt University,1996,Belle Mead,New Jersey
Malik Beasley,196,88,Florida State University,1996,Atlanta,Georgia
DeAndre' Bembry,198,95,Saint Joseph's University,1994,Charlotte,North Carolina
Dragan Bender,216,102,,1997,Capljina,Bosnia and Herzegovina
Ben Bentil,206,106,Providence College,1995,Ghana,
Davis Bertans,208,95,,1992,Valmiera,Latvia
Joel Bolomboy,206,106,Weber State University,1994,Kiev,Ukraine
Malcolm Brogdon,196,97,University of Virginia,1992,Atlanta,Georgia
Jaylen Brown,193,97,University of Missouri,1992,Oakland,California
Nicolas Brussino,201,88,,1993,Santa Fe,Argentina
Marquese Chriss,208,105,University of Washington,1997,Sacramento,California
Semaj Christon,190,86,Xavier University,1992,Cincinnati,Ohio
Quinn Cook,188,83,Duke University,1993,Washington,District of Columbia
Deyonta Davis,211,107,Michigan State University,1996,Muskegon,Michigan
Malcolm Delaney,190,86,Virginia Polytechnic Institute and State University,1989,Baltimore,Maryland
Cheick Diallo,206,99,University of Kansas,1996,Kayes,Mali
Kris Dunn,193,95,Providence College,1994,New London,Connecticut
Henry Ellenson,211,111,Marquette University,1997,Rice Lake,Wisconsin
Joel Embiid,213,113,University of Kansas,1994,Yaounde,Cameroon
Kay Felder,175,79,Oakland University,1995,Detroit,Michigan
Yogi Ferrell,183,81,Indiana University,1993,Indianapolis,Indiana
Dorian Finney-Smith,203,99,University of Florida,1993,Portsmouth,Virginia
Bryn Forbes,190,86,Michigan State University,1993,Lansing,Michigan
Patricio Garino,198,95,George Washington University,1993,Buenos Aires,Argentina
Michael Gbinije,201,90,Syracuse University,1992,Hartford,Connecticut
Marcus Georges-Hunt,196,97,Georgia Institute of Technology,1994,Miami,Florida
Jonathan Gibson,188,83,New Mexico State University,1987,West Covina,California
Treveon Graham,198,99,Virginia Commonwealth University,1993,Washington,District of Columbia
A.J. Hammons,198,99,,1993,,
Andrew Harrison,198,96,University of Kentucky,1994,San Antonio,Texas
Juan Hernangomez,206,104,,1995,Madrid,Spain
Willy Hernangomez,211,108,,1994,Madrid,Spain
Buddy Hield,193,97,University of Oklahoma,1993,Freeport,Bahamas
Danuel House,201,93,Texas A&M University,1993,Houston,Texas
Brandon Ingram,206,86,Duke University,1997,Kinston,North Carolina
Demetrius Jackson,185,91,University of Notre Dame,1994,South Bend,Indiana
Pierre Jackson,178,81,Baylor University,1991,Las Vegas,Nevada
Derrick Jones,203,100,University of Miami,1990,Stone Mountain,Georgia
Mindaugas Kuzminskas,206,97,,1989,Vilnius,Lithuania
Skal Labissiere,211,102,University of Kentucky,1996,Port-Au-Prince,Haiti
Nicolas Laprovittola,193,81,,1990,Buenos Aires,Argentina
Jake Layman,206,95,University of Maryland,1994,Norwood,Massachusetts
Caris LeVert,201,92,University of Michigan,1994,Columbus,Ohio
Shawn Long,206,115,University of Louisiana at Lafayette,1993,Morgan City,Louisiana
Timothe Luwawu-Cabarrot,198,92,,1995,Cannes,France
Thon Maker,216,97,,1997,South Sudan,
Patrick McCaw,201,83,"University of Nevada, Las Vegas",1995,St. Louis,Missouri
Sheldon McClellan,196,90,University of Miami,1992,Houston,Texas
Rodney McGruder,193,92,Kansas State University,1991,Landover,Maryland
Dejounte Murray,196,77,University of Washington,1996,Seattle,Washington
Jamal Murray,193,93,University of Kentucky,1997,Kitchener,Canada
Maurice Ndour,206,90,Ohio University,1992,Sindia,Senegal
Georges Niang,203,104,Iowa State University,1993,Lawrence,Massachusetts
David Nwaba,193,94,"California Polytechnic State University, San Luis Obispo",1993,Los Angeles,California
Daniel Ochefu,211,111,Villanova University,1993,Baltimore,Maryland
Chinanu Onuaku,208,111,University of Louisville,1996,Baltimore,Maryland
Georgios Papagiannis,216,108,,1997,Amarousio,Greece
Marshall Plumlee,211,111,Duke University,1990,Fort Wayne,Indiana
Jakob Poeltl,213,112,University of Utah,1995,Vienna,Austria
Alex Poythress,201,107,University of Kentucky,1993,Savannah,Georgia
Tim Quarterman,198,88,Louisiana State University,1994,Savannah,Georgia
Chasson Randle,188,83,Stanford University,1993,Rock Island,Illinois
Malachi Richardson,198,92,Syracuse University,1996,Trenton,New Jersey
Domantas Sabonis,211,108,Gonzaga University,1996,Portland,Oregon
Dario Saric,208,101,,1994,Sibenik,Croatia
Tomas Satoransky,201,95,,1991,Prague,Czech Republic
Wayne Selden,196,104,University of Kansas,1994,Roxbury,Massachusetts
Pascal Siakam,206,104,New Mexico State University,1994,Douala,Cameroon
Diamond Stone,211,115,University of Maryland,1997,Milwaukee,Wisconsin
Edy Tavares,211,115,,1997,,
Isaiah Taylor,190,77,University of Texas at Austin,1994,Hayward,California
Mike Tobey,213,117,University of Virginia,1994,Monroe,New York
Tyler Ulis,178,68,University of Kentucky,1996,Detroit,Michigan
Jarrod Uthoff,206,100,University of Iowa,1993,Cedar Rapids,Iowa
Denzel Valentine,198,96,Michigan State University,1993,Lansing,Michigan
Fred VanVleet,183,88,Wichita State University,1994,Rockford,Illinois
Taurean Waller-Prince,183,88,,1994,,
Okaro White,203,92,Florida State University,1992,Clearwater,Florida
Isaiah Whitehead,193,96,Seton Hall University,1995,Brooklyn,New York
Kyle Wiltjer,208,108,Gonzaga University,1992,Portland,Oregon
Stephen Zimmerman,213,108,"University of Nevada, Las Vegas",1996,Hendersonville,Tennessee
Paul Zipser,203,97,,1994,Heidelberg,Germany
Ivica Zubac,216,120,,1997,Mostar,Bosnia and Herzegovina
